system:index,classification,confidence,manual_class,manual_name,notes,point_id,rf_class,rf_class_name,.geo
181,5,low,5,Bare Land,,181,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.2077070857409,22.848424672759002]}"
182,5,high,3,water,,182,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.30068271764728,22.53581095388541]}"
183,5,medium,3,water,,183,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.33868145416554,22.687266910787958]}"
184,5,low,5,Bare Land,,184,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22495473919601,23.066176297629575]}"
185,5,low,5,Bare Land,,185,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.15919806039845,22.931967994182116]}"
186,5,high,3,water,,186,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22010383666176,22.56572485284659]}"
187,5,low,3,water,,187,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.33436954080176,22.44148784905286]}"
188,5,high,5,Bare Land,,188,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.39365834955365,22.789674853177583]}"
189,5,low,5,Bare Land,,189,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.26052802444714,22.8694452504074]}"
190,5,medium,5,Bare Land,,190,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.06703091224779,22.81069543082598]}"
191,5,high,5,Bare Land,,191,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.49525780818757,22.377348137766724]}"
192,5,high,5,Bare Land,,192,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.082122609021,22.88184200132825]}"
193,5,low,2,Degraded Forest/Jhum ,,193,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.11904336719832,22.63714091793409]}"
194,5,low,3,water,water beneath water hyacinth,194,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.06541394473638,22.88103351757254]}"
195,5,high,3,water,,195,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.28559102087407,22.783206983131922]}"
196,5,high,5,Bare Land,,196,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.26268398112903,22.747903192466026]}"
197,5,high,3,water,,197,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.23303957675309,22.589440376347344]}"
198,5,medium,5,Bare Land,,198,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.40282116545167,22.91418135155655]}"
199,5,high,5,Bare Land,,199,5,Bare Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.36104950474011,22.893160773908154]}"
